subjCode	sex	age	seed	experimenter	inputType	input	gaze	pygazeVersion	trialType	trialID	blockID	image	audio	audioType	audioDur	box	curTrialIndex	expTimer	trialStart	trialTime	totalTime	lookAways	totalLookingTime	totalLookingTimeNS	agScreenTime	startScreenTime	audioStartTime	audioEndTime
201	f	6.4	101	lm	gaze	keyboard	yes	04	training	2	1	star1	starling_1_70dB	birdsong	34250	wp1	1	52394.1062664	15011.8026603	37382.3036061	34256.1880816	4	32968.3115749	32132.7166239	15011.8105306	17102.5642693	18121.534688	34272.5356489
201	f	6.4	101	lm	gaze	keyboard	yes	04	training	1	1	star1	japanese_1_65dB	forward	34250	wp10	2	72164.3027356	53283.0092609	18881.2934747	16785.4244058	1	15781.1296363	15645.1519851	53283.0208952	54333.3919611	55354.1680924	16810.0819466
201	f	6.4	101	lm	gaze	keyboard	yes	04	training	1	2	star1	japanese_1_65dB	forward	34250	wp8	3	98104.4510798	72791.6186466	25312.8324331	22987.7504455	4	21069.1221437	20478.381408	72791.6299388	74078.8148886	75099.9253351	23004.4884465
201	f	6.4	101	lm	gaze	keyboard	yes	04	training	2	2	star1	starling_1_70dB	birdsong	34250	wp7	4	114607.280611	98767.9158032	15839.364808	13284.6319043	2	12197.8560713	11913.8438649	98767.9291485	100261.444392	101305.381345	13301.1293488
201	f	6.4	101	lm	gaze	keyboard	yes	04	training	2	3	star1	starling_1_70dB	birdsong	34250	wp5	5	122765.520847	115264.449465	7501.07138261	3945.62399574	1	2937.70993082	2787.41558286	115264.45973	117783.722033	118804.085489	3961.39737585
201	f	6.4	101	lm	gaze	keyboard	yes	04	training	1	3	star1	japanese_1_65dB	forward	34250	wp11	6	129470.04098	123570.794404	5899.24657613	3811.52494258	1	2808.51405289	2658.764122	123570.803301	124621.826572	125641.781116	3828.22496089
201	f	6.4	101	lm	gaze	keyboard	yes	04	training	2	4	star1	starling_1_70dB	birdsong	34250	wp4	7	136077.455044	130164.11248	5913.3425632	3543.70803095	1	2537.47614968	2370.24293799	130164.12959	131478.533681	132513.510166	3563.74606834
201	f	6.4	101	lm	gaze	keyboard	yes	04	training	1	4	star1	japanese_1_65dB	forward	34250	wp12	8	140975.097797	136774.66062	4200.4371761	2055.84090023	1	1039.01974822	903.276151919	136774.671913	137879.850479	138900.41206	2074.65083402
201	f	6.4	101	lm	gaze	keyboard	yes	04	training	2	5	star1	starling_1_70dB	birdsong	34250	wp9	9	146924.929647	141703.567831	5221.36181593	3146.68052742	1	2145.61906818	1993.0813525	141703.577754	142745.096825	143765.442487	3159.44951941
201	f	6.4	101	lm	gaze	keyboard	yes	04	training	1	5	star1	japanese_1_65dB	forward	34250	wp2	10	153763.159083	147686.417839	6076.74124482	3324.08006862	1	2289.83654483	2153.35417015	147686.427078	149399.358813	150422.357439	3340.72910133
201	f	6.4	101	lm	gaze	keyboard	yes	04	training	2	6	star1	starling_1_70dB	birdsong	34250	wp3	11	160569.695304	154562.490932	6007.20437232	3928.14995383	2	2641.71439013	2385.47292765	154562.501198	155604.046959	156623.223373	3946.43668609
201	f	6.4	101	lm	gaze	keyboard	yes	04	training	1	6	star1	japanese_1_65dB	forward	34250	wp6	12	185780.721067	161198.750202	24581.970865	22508.0297235	7	18831.5835109	17970.668206	161198.760125	162240.726775	163260.355558	22520.3299215
202	m	6.7	102	rr	gaze	keyboard	yes	04	training	1	1	star1	japanese_1_65dB	forward	34250	wp4	1	33586.1098925	26513.6905442	7072.41934833	4864.01332885	1	3844.0173119	3676.5498145	26513.6997833	27667.8873604	28705.1388217	4880.93890531
202	m	6.7	102	rr	gaze	keyboard	yes	04	training	2	1	star1	starling_1_70dB	birdsong	34250	wp12	2	49290.3494478	34196.86954	15093.4799078	7472.92859044	1	6469.52143833	6302.16378283	34196.8791212	40759.4226217	41795.9305115	7494.38198018
202	m	6.7	102	rr	gaze	keyboard	yes	04	training	1	2	star1	japanese_1_65dB	forward	34250	wp1	3	65720.7616937	50133.0099898	15587.7517039	13004.2646718	4	11228.46363	10809.5043701	50133.0188866	51676.2038638	52699.4099334	13021.1885373
202	m	6.7	102	rr	gaze	keyboard	yes	04	training	2	2	star1	starling_1_70dB	birdsong	34250	wp2	4	78279.2673921	66556.3389728	11722.9284194	7104.55614633	3	5803.72038974	5613.24084257	66556.3482118	70134.702787	71155.3961802	7123.84691666
202	m	6.7	102	rr	gaze	keyboard	yes	04	training	1	3	star1	japanese_1_65dB	forward	34250	wp9	5	86792.247557	79074.6435613	7717.60399565	4310.61852968	1	3306.78398649	3170.3562368	79074.6538269	81436.3988007	82462.3656319	4329.83915176
202	m	6.7	102	rr	gaze	keyboard	yes	04	training	2	3	star1	starling_1_70dB	birdsong	34250	wp7	6	96739.7783726	87622.1743085	9117.60406408	4893.69664883	1	3890.76547829	3840.54001154	87622.1866272	90799.1768359	91825.2764355	4914.46258566
202	m	6.7	102	rr	gaze	keyboard	yes	04	training	1	4	star1	japanese_1_65dB	forward	34250	wp3	7	114915.022745	97562.9537822	17352.0689629	9306.41134526	4	8075.25573316	7550.13376074	97562.9647322	104560.074282	105585.673262	9329.31594843
202	m	6.7	102	rr	gaze	keyboard	yes	04	training	2	4	star1	starling_1_70dB	birdsong	34250	wp6	8	128277.520872	115651.330661	12626.1902106	4699.10812481	1	3679.18636236	3599.57801547	115651.342295	122533.61436	123554.211599	4723.27334346
202	m	6.7	102	rr	gaze	keyboard	yes	04	training	2	5	star1	starling_1_70dB	birdsong	34250	wp8	9	144439.987996	128994.994494	15444.9935019	4342.33341158	1	3321.23486936	3153.69585496	128995.005786	139057.072963	140077.038183	4362.92038481
202	m	6.7	102	rr	gaze	keyboard	yes	04	training	1	5	star1	japanese_1_65dB	forward	34250	wp11	10	170282.847691	145150.298968	25132.5487222	7596.80664608	6	5343.1994859	5443.05535689	145150.308892	161655.701753	162680.522943	7602.28779126
202	m	6.7	102	rr	gaze	keyboard	yes	04	training	1	6	star1	japanese_1_65dB	forward	34250	wp5	11	176669.850485	170927.910862	5741.93962322	3175.79700395	1	2168.49953223	2032.2490352	170927.920785	172458.90065	173477.119008	3192.6948633
202	m	6.7	102	rr	gaze	keyboard	yes	04	training	2	6	star1	starling_1_70dB	birdsong	34250	wp10	12	185272.140672	177393.688094	7878.45257738	4061.16072437	1	3057.2464517	2937.46539638	177393.699386	180163.891305	181185.661902	4086.44797292
203_Prac	f	7.8	103	rr	gaze	keyboard	yes	04	training	2	1	star1	starling_1_70dB	birdsong	34250	wp7	1	49947.5879608	27276.7666924	22670.8212684	20618.7870032	3	19347.7882084	19008.8058303	27276.7773002	28287.2468418	29306.8592675	20640.6818137
203_Prac	f	7.8	103	rr	gaze	keyboard	yes	04	training	1	1	star1	japanese_1_65dB	forward	34250	wp4	2	71171.5162494	50686.3849421	20485.1313073	18025.2711658	6	16082.5046144	15243.0500188	50686.3965765	52079.1734277	53132.2455449	18039.2358015
203_Prac	f	7.8	103	rr	gaze	keyboard	yes	04	training	1	2	star1	japanese_1_65dB	forward	34250	wp3	3	84050.3496805	71914.7873208	12135.5623597	9675.91129428	3	8388.18504904	8299.40438999	71914.796902	73311.3733933	74353.7915303	9696.51948308
203_Prac	f	7.8	103	rr	gaze	keyboard	yes	04	training	2	2	star1	starling_1_70dB	birdsong	34250	wp5	4	109274.912383	84672.6618902	24602.2504929	22473.0028449	1	21453.7353433	21353.5064889	84672.7368291	85767.6597378	86788.0602194	22486.8169185
203_Prac	f	7.8	103	rr	gaze	keyboard	yes	04	training	1	3	star1	japanese_1_65dB	forward	34250	wp9	5	123168.619298	110018.312459	13150.3068387	10996.0015494	3	9804.24051338	9383.93098506	110018.323409	111113.741804	112156.095952	11012.4867317
203_Prac	f	7.8	103	rr	gaze	keyboard	yes	04	training	2	3	star1	starling_1_70dB	birdsong	34250	wp12	6	132767.872578	123901.040316	8866.83226217	6349.48853367	1	5346.13955328	5284.31053846	123901.051266	125375.424568	126401.110122	6366.7268687
203_Prac	f	7.8	103	rr	gaze	keyboard	yes	04	training	1	4	star1	japanese_1_65dB	forward	34250	wp1	7	165306.304241	133583.623907	31722.6803341	27431.901442	7	23546.9654549	22677.1342692	133583.634515	136830.454403	137854.270592	27451.9970353
203_Prac	f	7.8	103	rr	gaze	keyboard	yes	04	training	2	4	star1	starling_1_70dB	birdsong	34250	wp6	8	174901.201486	165943.105658	8958.09582731	5532.1877838	1	4530.07238616	4381.21470773	165943.11524	168311.038735	169349.882048	5551.29240462
203_Prac	f	7.8	103	rr	gaze	keyboard	yes	04	training	1	5	star1	japanese_1_65dB	forward	34250	wp2	9	184533.616755	175768.817697	8764.79905776	5866.1899779	1	4860.06860158	4696.52495807	175768.826594	177623.282309	178646.496249	5887.08286596
203_Prac	f	7.8	103	rr	gaze	keyboard	yes	04	training	2	5	star1	starling_1_70dB	birdsong	34250	wp10	10	196683.29226	185134.304824	11548.9874356	9296.87973714	4	6828.38075241	6999.45181705	185134.314747	186334.542849	187373.255105	9310.00464689
203_Prac	f	7.8	103	rr	gaze	keyboard	yes	04	training	2	6	star1	starling_1_70dB	birdsong	34250	wp8	11	204006.648344	197386.886109	6619.76223505	3647.00747541	1	2644.49035068	2610.82911133	197386.895006	199291.986126	200345.669047	3660.94131432
203_Prac	f	7.8	103	rr	gaze	keyboard	yes	04	training	1	6	star1	japanese_1_65dB	forward	34250	wp11	12	220809.855454	204635.086378	16174.7690754	13539.3771246	4	9826.96273109	9526.30046312	204635.095959	206213.33864	207253.479525	13556.3410259
204	m	7.2	104	rr	gaze	keyboard	yes	04	training	2	1	star1	starling_1_70dB	birdsong	34250	wp12	1	58333.7079136	20841.1908505	37492.5170631	34260.1117855	8	29825.9231682	28639.1416317	20842.9606396	23016.6638037	24054.1226301	34279.5548289
204	m	7.2	104	rr	gaze	keyboard	yes	04	training	1	1	star1	japanese_1_65dB	forward	34250	wp5	2	65768.3554032	59113.4766091	6654.87879408	4514.11554001	1	3511.63776673	3345.60608436	59113.4858482	60217.4571976	61237.7170404	4530.60380198
204	m	7.2	104	rr	gaze	keyboard	yes	04	training	2	2	star1	starling_1_70dB	birdsong	34250	wp11	3	78575.2882409	66477.2415105	12098.0467304	7911.003079	2	6829.56403373	6930.7578544	66477.2510917	69631.6015497	70650.7513391	7924.4999456
204	m	7.2	104	rr	gaze	keyboard	yes	04	training	1	2	star1	japanese_1_65dB	forward	34250	wp2	4	89844.1435788	79200.1021769	10644.0414018	7574.31951059	1	6572.67496172	6454.16820935	79200.2547921	81233.6792384	82256.2864814	7587.82150999
204	m	7.2	104	rr	gaze	keyboard	yes	04	training	1	3	star1	japanese_1_65dB	forward	34250	wp1	5	99608.2822164	90560.1410083	9048.1412081	6046.80120532	2	4642.44339034	4371.61774198	90560.1505895	92519.4738402	93544.7521919	6063.49512145
204	m	7.2	104	rr	gaze	keyboard	yes	04	training	2	3	star1	starling_1_70dB	birdsong	34250	wp6	6	117932.881464	100219.451803	17713.4296611	13809.1549975	4	10490.3766859	11987.8534018	100219.76422	103069.395445	104106.837162	13825.9495165
204	m	7.2	104	rr	gaze	keyboard	yes	04	training	1	4	star1	japanese_1_65dB	forward	34250	wp10	7	126494.26153	118755.856011	7738.40551988	4776.92136072	2	3731.63398899	4519.13883949	118755.866961	120642.40267	121699.942376	4794.28870011
204	m	7.2	104	rr	gaze	keyboard	yes	04	training	2	4	star1	starling_1_70dB	birdsong	34250	wp7	8	137278.692519	127111.059061	10167.6334579	5793.83393409	3	4279.05797397	4979.52731709	127111.068984	130441.158959	131467.380377	5811.28100296
204	m	7.2	104	rr	gaze	keyboard	yes	04	training	1	5	star1	japanese_1_65dB	forward	34250	wp9	9	145629.20419	138010.359015	7618.84517493	4757.89236314	1	3755.14220932	4109.69921111	138010.368254	139818.360502	140845.53662	4783.63369333
204	m	7.2	104	rr	gaze	keyboard	yes	04	training	2	5	star1	starling_1_70dB	birdsong	34250	wp8	10	154598.208585	146435.440336	8162.76824864	4110.68847263	2	2803.95273445	3939.14861235	146435.463263	149453.481441	150474.051305	4124.00124283
204	m	7.2	104	rr	gaze	keyboard	yes	04	training	2	6	star1	starling_1_70dB	birdsong	34250	wp4	11	166184.401971	155344.430331	10839.9716396	7890.09581909	2	6460.60097551	7380.82837904	155344.444361	157256.977698	158281.993935	7902.36971073
204	m	7.2	104	rr	gaze	keyboard	yes	04	training	1	6	star1	japanese_1_65dB	forward	34250	wp3	12	175012.655772	166802.741394	8209.91437807	5984.9465265	3	4564.85291793	3563.66518819	166802.750633	167974.560478	169013.197111	5999.42854836
205a	m	7.5	105	rr	gaze	keyboard	yes	04	training	2	1	star1	starling_1_70dB	birdsong	34250	wp1	1	20467.3638329	13546.5548545	6920.80897832	4229.13103673	2	2962.17152878	2622.34593323	13546.5644357	15200.4505198	16219.5300304	4247.80026841
205a	m	7.5	105	rr	gaze	keyboard	yes	04	training	1	1	star1	japanese_1_65dB	forward	34250	wp3	2	64955.0061901	21104.4934954	43850.5126947	34256.0944729	8	31567.6306682	30505.8171326	21104.5044453	29624.5981901	30682.2343401	34272.7331832
205a	m	7.5	105	rr	gaze	keyboard	yes	04	training	2	2	star1	starling_1_70dB	birdsong	34250	wp10	3	71425.5403603	65609.8329388	5815.70742151	3610.54810393	3	2038.08818903	1548.33250184	65609.8438887	66761.2135496	67802.8720894	3622.63405242
205a	m	7.5	105	rr	gaze	keyboard	yes	04	training	1	2	star1	japanese_1_65dB	forward	34250	wp12	4	95434.3817175	72250.2157472	23184.1659704	17939.5942105	5	16185.3122877	15382.3683395	72250.2253283	76458.0310991	77478.7226398	17955.6303342
205a	m	7.5	105	rr	gaze	keyboard	yes	04	training	2	3	star1	starling_1_70dB	birdsong	34250	wp4	5	101052.590301	96319.5539149	4733.03638585	2288.04627148	1	1268.06955365	1104.8500514	96319.5624695	97708.0459841	98750.1134341	2302.44504346
205a	m	7.5	105	rr	gaze	keyboard	yes	04	training	1	3	star1	japanese_1_65dB	forward	34250	wp2	6	108480.119094	101882.311195	6597.80789912	1839.97341915	1	834.290080587	700.780385465	101882.320776	105599.633794	106619.92977	1860.1537366
205a	m	7.5	105	rr	gaze	keyboard	yes	04	training	2	4	star1	starling_1_70dB	birdsong	34250	wp6	7	113646.354608	109247.990181	4398.36442762	1872.69034173	1	868.891069724	727.296244702	109248.001473	110732.381103	111753.149635	1893.16938602
205a	m	7.5	105	rr	gaze	keyboard	yes	04	training	1	4	star1	japanese_1_65dB	forward	34250	wp5	8	119376.487561	114262.691101	5113.79645922	1267.69588853	1	261.472583225	95.9306762088	114262.699998	117068.746531	118091.803592	1284.64803949
205a	m	7.5	105	rr	gaze	keyboard	yes	04	training	2	5	star1	starling_1_70dB	birdsong	34250	wp9	9	125180.730098	120214.929705	4965.80039297	1613.73999878	2	526.566844608	229.973494424	120215.903562	122508.154593	123547.332297	1633.33244366
205a	m	7.5	105	rr	gaze	keyboard	yes	04	training	1	5	star1	japanese_1_65dB	forward	34250	wp8	10	130210.606549	125929.700979	4280.90557014	1415.16738629	1	411.029694078	279.995017801	125929.743068	127737.308556	128778.486327	1432.05897068
205a	m	7.5	105	rr	gaze	keyboard	yes	04	training	2	6	star1	starling_1_70dB	birdsong	34250	wp11	11	138871.495776	130928.61865	7942.87712639	5810.58184325	5	3600.14399106	3022.30391285	130928.6296	132001.38961	133043.849204	5827.60961703
205a	m	7.5	105	rr	gaze	keyboard	yes	04	training	1	6	star1	japanese_1_65dB	forward	34250	wp7	12	144187.69081	139589.984882	4597.7059282	1248.05211602	1	241.910250566	91.1674710806	139589.994806	141900.626608	142922.855925	1264.80100956
206	f	8.1	106	rr	gaze	keyboard	yes	04	training	1	1	star1	japanese_1_65dB	forward	34250	wp7	1	38912.1688255	29227.5812842	9684.58754135	7577.53587631	2	6530.44824086	6363.28506482	29227.5894966	30257.9333712	31326.2159005	7585.91631131
206	f	8.1	106	rr	gaze	keyboard	yes	04	training	2	1	star1	starling_1_70dB	birdsong	34250	wp9	2	56634.8486622	39585.2856657	17049.5629965	14244.4646561	2	13106.533598	11970.7240825	39585.2983265	41337.0610888	42373.6618029	14261.1505878
206	f	8.1	106	rr	gaze	keyboard	yes	04	training	2	2	star1	starling_1_70dB	birdsong	34250	wp8	3	71230.9798583	57272.9590248	13958.0208335	11364.1713221	1	10344.8122469	10195.067619	57272.9672372	58793.697787	59849.9816247	11380.9670949
206	f	8.1	106	rr	gaze	keyboard	yes	04	training	1	2	star1	japanese_1_65dB	forward	34250	wp10	4	87534.9537812	71960.1372433	15574.8165379	11817.6390517	5	9310.32657382	9630.96795034	71960.1485353	74674.7706168	75697.8482084	11837.0402155
206	f	8.1	106	rr	gaze	keyboard	yes	04	training	2	3	star1	starling_1_70dB	birdsong	34250	wp2	5	98700.3707909	88182.3736091	10517.9971818	6631.52434196	1	5628.76770547	5463.73325778	88182.384559	91026.06794	92052.510914	6647.82292101
206	f	8.1	106	rr	gaze	keyboard	yes	04	training	1	3	star1	japanese_1_65dB	forward	34250	wp3	6	112694.380855	99511.5052618	13182.8755934	10084.1188173	1	9064.47607139	9833.28782282	99511.5141586	101559.870955	102597.12661	10097.215236
206	f	8.1	106	rr	gaze	keyboard	yes	04	training	2	4	star1	starling_1_70dB	birdsong	34250	wp12	7	122291.595749	113406.102241	8885.49350842	5028.52448089	1	4027.17114209	3912.4583134	113406.11319	116223.827865	117248.833323	5042.72547035
206	f	8.1	106	rr	gaze	keyboard	yes	04	training	1	4	star1	japanese_1_65dB	forward	34250	wp6	8	135985.160837	123071.211284	12913.9495525	9760.97333632	3	8098.21612496	7899.05837732	123071.224287	125186.546888	126209.532433	9775.60000301
206	f	8.1	106	rr	gaze	keyboard	yes	04	training	2	5	star1	starling_1_70dB	birdsong	34250	wp4	9	157150.719511	136867.020691	20283.6988204	15414.4939676	6	12813.1184553	12204.9375822	136867.036773	140682.92521	141719.546797	15431.1364419
206	f	8.1	106	rr	gaze	keyboard	yes	04	training	1	5	star1	japanese_1_65dB	forward	34250	wp11	10	165761.107473	157837.48266	7923.62481274	5257.60418998	1	4241.21595865	4103.58807584	157837.492583	159441.967943	160486.972703	5274.09986717
206	f	8.1	106	rr	gaze	keyboard	yes	04	training	2	6	star1	starling_1_70dB	birdsong	34250	wp5	11	178434.998676	166381.641198	12053.3574779	8939.68044096	2	7349.59598304	7066.13121672	166381.650779	168455.574558	169478.322284	8956.64080438
206	f	8.1	106	rr	gaze	keyboard	yes	04	training	1	6	star1	japanese_1_65dB	forward	34250	wp1	12	188148.230805	179272.628475	8875.60232987	4293.81378743	2	3261.89689167	3088.67397436	179272.637714	182816.858872	183841.252162	4306.93894954
207	f	6.7	107	mz	gaze	keyboard	yes	04	training	1	1	star1	japanese_1_65dB	forward	34250	wp5	1	36057.6915838	23661.5835193	12396.1080645	10044.8740454	1	9044.66223338	8948.16353125	23661.5924161	24953.3106671	25993.459832	10064.1537338
207	f	6.7	107	mz	gaze	keyboard	yes	04	training	2	1	star1	starling_1_70dB	birdsong	34250	wp1	2	46153.9603381	36947.5489683	9206.41136984	6553.75509599	1	5537.16258064	5700.83787246	36947.5592338	38563.101175	39583.368065	6570.55839687
207	f	6.7	107	mz	gaze	keyboard	yes	04	training	1	2	star1	japanese_1_65dB	forward	34250	wp8	3	84524.7820115	47019.4435947	37505.3384168	29557.0089262	5	27004.6174345	27222.0998342	47019.4521493	53917.348811	54950.5632696	29574.1773376
207	f	6.7	107	mz	gaze	keyboard	yes	04	training	2	2	star1	starling_1_70dB	birdsong	34250	wp6	4	99220.3019981	85303.4606464	13916.8413517	10331.6579991	1	9312.0412592	9495.48761605	85303.4705698	87855.9534246	88871.918374	10348.3490635
207	f	6.7	107	mz	gaze	keyboard	yes	04	training	2	3	star1	starling_1_70dB	birdsong	34250	wp12	5	119082.680617	99841.2121262	19241.4684906	11084.4757155	5	9487.39701119	10112.7623784	99841.2234182	106949.320114	107981.961756	11100.686011
207	f	6.7	107	mz	gaze	keyboard	yes	04	training	1	3	star1	japanese_1_65dB	forward	34250	wp3	6	129331.648076	119845.959249	9485.68882718	3988.49816009	1	2981.23358801	2931.10290787	119845.96883	124299.116617	125326.168337	4005.44654706
207	f	6.7	107	mz	gaze	keyboard	yes	04	training	1	4	star1	japanese_1_65dB	forward	34250	wp11	7	136387.259521	129958.572777	6428.68674471	3695.75096102	1	2690.7475426	2590.77943413	129958.5827	131655.546362	132676.043884	3711.17868111
207	f	6.7	107	mz	gaze	keyboard	yes	04	training	2	4	star1	starling_1_70dB	birdsong	34250	wp7	8	143492.534224	137199.846565	6292.68765898	3709.46810197	1	2689.67137311	2808.11537907	137199.856146	138744.779466	139770.662626	3721.83772118
207	f	6.7	107	mz	gaze	keyboard	yes	04	training	2	5	star1	starling_1_70dB	birdsong	34250	wp10	9	155530.814036	144107.286403	11423.5276324	6066.8128478	2	4683.66022198	5449.10590677	144107.295642	148424.923744	149450.126985	6080.65009536
207	f	6.7	107	mz	gaze	keyboard	yes	04	training	1	5	star1	japanese_1_65dB	forward	34250	wp9	10	164377.6373	156149.310054	8228.32724586	4308.92190739	2	3132.80034711	3081.8781947	156149.318951	158995.14201	160050.714104	4326.89308311
207	f	6.7	107	mz	gaze	keyboard	yes	04	training	2	6	star1	starling_1_70dB	birdsong	34250	wp4	11	171363.848984	165231.408615	6132.44036923	3139.9150425	1	2120.07109221	2370.72380871	165231.417854	167183.673909	168209.573495	3154.23887607
207	f	6.7	107	mz	gaze	keyboard	yes	04	training	1	6	star1	japanese_1_65dB	forward	34250	wp2	12	178022.713165	172007.307003	6015.40616242	3878.153998	2	2760.95896459	3024.20748421	172007.316242	173088.956961	174124.595795	3898.04961806
BIRD-221	m	6.8	121	so	gaze	keyboard	yes	04	training	1	1	star1	japanese_1_65dB	forward	34250	wp11	1	50896.5922436	36691.8866463	14204.7055973	10780.106844	4	8970.08820181	8517.61365344	36691.901018	38977.2381666	40106.2660314	10790.1592257
