subjCode	sex	age	seed	experimenter	inputType	input	gaze	pygazeVersion	trialType	trialID	blockID	image	audio	audioType	audioDur	box	curTrialIndex	expTimer	trialStart	trialTime	totalTime	lookAways	totalLookingTime	totalLookingTimeNS	agScreenTime	startScreenTime	audioStartTime	audioEndTime
Bird_101	m	213	110	cs	gaze	keyboard	yes	04	training	1	4	star1	japanese_1_65dB	forward	34250	wp6	11	207621.277903	183925.478338	23695.7995656	20129.7301681	13	16595.9720943	14589.9270876	183925.489288	186456.18277	187476.527608	20144.6657761
Bird_101	m	213	110	cs	gaze	keyboard	yes	04	training	2	4	star1	backjapanese_1_65dB	backward	34250	wp11	12	224425.923176	208373.126719	16052.7964572	11235.9533837	8	9075.83461876	8821.99977277	208373.137326	212151.614488	213173.003327	11252.8832348
Bird_102	f	7.7	110	cs	gaze	keyboard	yes	04	training	2	1	star1	backjapanese_1_65dB	backward	34250	wp8	1	50429.1896557	25152.2581347	25276.931521	22917.9663922	3	21002.8620194	20648.0872649	25152.2663471	26470.6280292	27496.3666998	22932.7976343
Bird_102	f	7.7	110	cs	gaze	keyboard	yes	04	training	3	1	star1	starling_1_70dB	birdsong	34250	wp3	2	58705.3782971	51181.032996	7524.34530109	4315.26321408	1	3296.66590472	3181.47030604	51181.0408662	53355.328749	54375.9777882	4329.37347642
Bird_102	f	7.7	110	cs	gaze	keyboard	yes	04	training	1	1	star1	japanese_1_65dB	forward	34250	wp10	3	75675.3695235	59342.7230657	16332.6464578	10865.9521656	4	8872.70446471	8334.87475416	59342.742228	63771.3949984	64792.63533	10882.7068189
Bird_102	f	7.7	110	cs	gaze	keyboard	yes	04	training	2	2	star1	backjapanese_1_65dB	backward	34250	wp12	4	83951.0572089	76330.759318	7620.29789094	4530.67295096	1	3525.83140228	3392.07613436	76330.7675304	78383.7142059	79410.6145882	4540.41661476
Bird_102	f	7.7	110	cs	gaze	keyboard	yes	04	training	1	2	star1	japanese_1_65dB	forward	34250	wp4	5	93788.3881533	84785.2968712	9003.09128212	5115.43786436	1	4112.7801282	3995.3370709	84785.3050836	87629.4003036	88649.8546406	5138.50750684
Bird_102	f	7.7	110	cs	gaze	keyboard	yes	04	training	3	2	star1	starling_1_70dB	birdsong	34250	wp9	6	102492.971559	94417.9208818	8075.05067732	4055.86583959	1	3052.83478167	2935.8588043	94417.9294363	97393.5506014	98420.2997387	4072.64684103
Bird_102	f	7.7	110	cs	gaze	keyboard	yes	04	training	2	3	star1	backjapanese_1_65dB	backward	34250	wp1	7	112694.981406	103325.401073	9369.58033295	3433.33520394	1	2413.67746916	2296.58138554	103325.409285	108230.303941	109248.046134	3446.90892319
Bird_102	f	7.7	110	cs	gaze	keyboard	yes	04	training	3	3	star1	starling_1_70dB	birdsong	34250	wp5	8	121218.459957	113504.281395	7714.17856211	3156.44850896	1	2136.40102764	2019.44900307	113504.289265	117021.643765	118047.345138	3171.09018166
